Reforma,Milenio,CISEN
,170,119.8557751
232,204,209.4034002
97,198,164.0717233
190,275,313.6453857
246,255,313.3179925
237,279,357.8939368
247,244,282.7135518
142,217,222.2945063
173,284,341.8871391
144,236,311.545977
182,202,341.2309886
136,183,310.9225658
156,196,325.5856875
248,247,340.149227
245,251,384.890232
295,378,384.4959961
290,270,324.2406472
474,493,533.7422653
329,505,533.3480294
549,509,607.9704819
524,555,682.6597772
497,448,592.2924415
554,669,831.8392037
551,701,936.4099465
663,635,786.1473943
450,480,605.9051767
584,633,740.5538029
459,508,620.2709162
511,546,634.9012985
540,510,619.5833905
510,769,889.0443396
464,854,813.7002579
541,748,843.3852695
718,826,888.0607959
561,840,872.64467
463,682,812.4206963
786,885,1021.955054
765,934,1021.562182
761,799,916.3025493
914,1130,1200.755377
1076,1097,1155.390961
894,1110,1275.017697
1068,1200,1394.613058
1286,1234,1349.378235
1054,1322,
1054,961,
,1133,
